Sample_name,CST
2010-RvD-d1-001,CST5
2010-RvD-d1-004,CST3
2010-RvD-d1-007,CST4
2010-RvD-d1-010,CST5
2010-RvD-d1-013,CST3
2010-RvD-d1-016,CST4
2010-RvD-d1-019,CST3
2010-RvD-d1-022,CST5
2010-RvD-d1-025,CST5
2010-RvD-d1-028,CST5
2010-RvD-d1-031,CST3
2010-RvD-d1-034,Unclassified
2010-RvD-d1-037,Unclassified
2010-RvD-d1-040,CST5
2010-RvD-d1-043,CST5
2010-RvD-d1-046,CST4
2010-RvD-d1-049,CST5
2010-RvD-d1-052,Unclassified
2010-RvD-d1-055,CST3
2010-RvD-d1-058,CST5
2010-RvD-d1-061,CST4
2010-RvD-d1-064,CST3
2010-RvD-d1-067,CST4
2010-RvD-d1-070,CST4
2010-RvD-d1-073,CST3
2010-RvD-d1-076,CST5
2010-RvD-d1-079,CST1
2010-RvD-d1-082,CST4
2010-RvD-d1-085,CST5
2010-RvD-d1-088,CST4
2010-RvD-d1-094,CST5
2010-RvD-d1-097,CST5
2010-RvD-d1-100,CST5
2010-RvD-d1-103,CST5
2010-RvD-d1-106,CST5
2010-RvD-d1-109,CST5
2010-RvD-d1-112,CST5
2010-RvD-d1-115,CST5
2010-RvD-d1-118,CST5
2010-RvD-d1-121,Unclassified
2010-RvD-d1-127,CST5
2010-RvD-d1-130,CST3
2010-RvD-d1-133,CST5
2010-RvD-d1-136,CST5
2010-RvD-d1-139,CST5
2010-RvD-d1-142,Unclassified
2010-RvD-d1-145,CST1
2010-RvD-d1-148,CST5
2021-RvD-d1-208,CST5
Wasserkontrolle1,Unclassified
Wasserkontrolle2,CST5
Wasserkontrolle3,Unclassified
